2017/11/04 05:54:14 Running with arguments: [a3c -compression 40 -env DoodleJump-v0 -out doodlejump40compress]
2017/11/04 05:54:14 Loaded policy.
2017/11/04 05:54:14 Loaded critic.
2017/11/04 05:54:14 Initializing environments...
2017/11/04 05:54:26 Running A3C...
2017/11/04 05:54:31 episode: worker=1 reward=0.030000
2017/11/04 05:54:31 episode: worker=3 reward=0.030000
2017/11/04 05:54:32 regularize: worker=2 term=0.020794291
2017/11/04 05:54:32 episode: worker=0 reward=0.280000
2017/11/04 05:54:34 regularize: worker=6 term=0.02079431
2017/11/04 05:54:34 episode: worker=5 reward=0.824000
2017/11/04 05:54:35 episode: worker=7 reward=0.636000
2017/11/04 05:54:35 episode: worker=1 reward=0.030000
2017/11/04 05:54:37 episode: worker=6 reward=1.484000
2017/11/04 05:54:37 regularize: worker=0 term=0.020794284
2017/11/04 05:54:38 episode: worker=3 reward=0.226000
2017/11/04 05:54:40 regularize: worker=0 term=0.020794285
2017/11/04 05:54:40 episode: worker=1 reward=0.358000
2017/11/04 05:54:40 episode: worker=4 reward=2.174000
2017/11/04 05:54:42 regularize: worker=5 term=0.020794313
2017/11/04 05:54:43 episode: worker=7 reward=0.568000
2017/11/04 05:54:43 episode: worker=3 reward=0.046000
2017/11/04 05:54:45 regularize: worker=0 term=0.020794304
2017/11/04 05:54:47 episode: worker=3 reward=0.030000
2017/11/04 05:54:47 regularize: worker=2 term=0.020794325
2017/11/04 05:54:47 episode: worker=0 reward=2.262000
2017/11/04 05:54:49 episode: worker=5 reward=2.592000
2017/11/04 05:54:50 regularize: worker=2 term=0.020794319
2017/11/04 05:54:52 regularize: worker=0 term=0.020794306
2017/11/04 05:54:52 update: worker=2 critic_mse=0.139347
2017/11/04 05:54:52 episode: worker=2 reward=3.318000
2017/11/04 05:54:53 episode: worker=4 reward=0.766000
2017/11/04 05:54:54 regularize: worker=3 term=0.020794304
2017/11/04 05:54:57 regularize: worker=2 term=0.020794293
2017/11/04 05:54:58 episode: worker=3 reward=1.288000
2017/11/04 05:54:59 regularize: worker=1 term=0.020794308
2017/11/04 05:55:00 episode: worker=1 reward=2.836000
2017/11/04 05:55:01 regularize: worker=7 term=0.02079427
2017/11/04 05:55:02 episode: worker=5 reward=1.182000
2017/11/04 05:55:04 regularize: worker=4 term=0.020794284
2017/11/04 05:55:06 regularize: worker=0 term=0.020794282
2017/11/04 05:55:08 episode: worker=1 reward=0.358000
2017/11/04 05:55:08 episode: worker=2 reward=1.914000
2017/11/04 05:55:09 episode: worker=4 reward=1.946000
2017/11/04 05:55:09 episode: worker=6 reward=4.236000
2017/11/04 05:55:10 regularize: worker=0 term=0.02079429
2017/11/04 05:55:12 episode: worker=0 reward=1.228000
2017/11/04 05:55:13 regularize: worker=1 term=0.020794334
2017/11/04 05:55:15 regularize: worker=3 term=0.020794323
2017/11/04 05:55:15 episode: worker=3 reward=2.496000
2017/11/04 05:55:16 update: worker=7 critic_mse=0.121225
2017/11/04 05:55:16 episode: worker=7 reward=3.226000
2017/11/04 05:55:18 regularize: worker=0 term=0.02079433
2017/11/04 05:55:20 episode: worker=6 reward=1.020000
2017/11/04 05:55:21 regularize: worker=4 term=0.020794325
2017/11/04 05:55:21 episode: worker=4 reward=1.470000
2017/11/04 05:55:25 regularize: worker=0 term=0.02079432
2017/11/04 05:55:27 episode: worker=7 reward=0.746000
2017/11/04 05:55:28 regularize: worker=5 term=0.020794304
2017/11/04 05:55:30 episode: worker=5 reward=2.262000
2017/11/04 05:55:31 regularize: worker=4 term=0.020794319
2017/11/04 05:55:32 episode: worker=3 reward=1.986000
2017/11/04 05:55:32 episode: worker=7 reward=0.030000
2017/11/04 05:55:34 regularize: worker=4 term=0.020794297
2017/11/04 05:55:37 regularize: worker=3 term=0.020794278
2017/11/04 05:55:38 episode: worker=6 reward=3.036000
2017/11/04 05:55:39 regularize: worker=0 term=0.02079429
2017/11/04 05:55:40 episode: worker=0 reward=3.784000
2017/11/04 05:55:40 episode: worker=4 reward=2.068000
2017/11/04 05:55:40 episode: worker=7 reward=0.508000
2017/11/04 05:55:42 episode: worker=2 reward=3.234000
2017/11/04 05:55:42 regularize: worker=5 term=0.020794263
2017/11/04 05:55:44 update: worker=3 critic_mse=0.157116
2017/11/04 05:55:44 episode: worker=4 reward=0.030000
2017/11/04 05:55:45 regularize: worker=5 term=0.02079427
2017/11/04 05:55:48 episode: worker=1 reward=5.530000
2017/11/04 05:55:48 regularize: worker=6 term=0.020794293
2017/11/04 05:55:48 episode: worker=6 reward=0.858000
2017/11/04 05:55:50 episode: worker=0 reward=0.322000
2017/11/04 05:55:50 regularize: worker=3 term=0.020794282
2017/11/04 05:55:52 episode: worker=4 reward=0.314000
2017/11/04 05:55:53 episode: worker=1 reward=0.030000
2017/11/04 05:55:54 regularize: worker=6 term=0.020794282
2017/11/04 05:55:57 regularize: worker=4 term=0.020794306
2017/11/04 05:55:57 episode: worker=4 reward=0.030000
2017/11/04 05:55:59 episode: worker=5 reward=3.348000
2017/11/04 05:56:00 regularize: worker=3 term=0.020794319
2017/11/04 05:56:03 regularize: worker=3 term=0.020794304
2017/11/04 05:56:03 episode: worker=2 reward=2.544000
2017/11/04 05:56:04 episode: worker=3 reward=1.820000
2017/11/04 05:56:05 regularize: worker=1 term=0.020794302
2017/11/04 05:56:08 episode: worker=0 reward=2.462000
2017/11/04 05:56:08 regularize: worker=5 term=0.020794291
2017/11/04 05:56:08 episode: worker=6 reward=2.608000
2017/11/04 05:56:09 update: worker=2 critic_mse=0.106735
2017/11/04 05:56:10 episode: worker=4 reward=0.528000
2017/11/04 05:56:11 regularize: worker=5 term=0.020794313
2017/11/04 05:56:13 episode: worker=1 reward=2.342000
2017/11/04 05:56:14 regularize: worker=5 term=0.020794298
2017/11/04 05:56:16 episode: worker=7 reward=3.664000
2017/11/04 05:56:16 episode: worker=5 reward=1.988000
2017/11/04 05:56:17 regularize: worker=0 term=0.020794295
2017/11/04 05:56:17 episode: worker=2 reward=1.834000
2017/11/04 05:56:20 episode: worker=0 reward=0.728000
2017/11/04 05:56:20 episode: worker=1 reward=0.220000
2017/11/04 05:56:20 regularize: worker=6 term=0.020794291
2017/11/04 05:56:20 episode: worker=6 reward=0.622000
2017/11/04 05:56:21 episode: worker=7 reward=0.030000
2017/11/04 05:56:21 episode: worker=5 reward=0.030000
2017/11/04 05:56:22 episode: worker=2 reward=0.030000
2017/11/04 05:56:24 regularize: worker=1 term=0.020794295
2017/11/04 05:56:24 episode: worker=1 reward=0.030000
2017/11/04 05:56:24 episode: worker=0 reward=0.030000
2017/11/04 05:56:24 episode: worker=3 reward=1.490000
2017/11/04 05:56:27 episode: worker=7 reward=0.358000
2017/11/04 05:56:27 regularize: worker=2 term=0.020794336
2017/11/04 05:56:30 episode: worker=3 reward=0.030000
2017/11/04 05:56:32 regularize: worker=2 term=0.020794345
2017/11/04 05:56:32 episode: worker=6 reward=0.324000
2017/11/04 05:56:35 regularize: worker=0 term=0.02079432
2017/11/04 05:56:35 episode: worker=0 reward=0.820000
2017/11/04 05:56:37 episode: worker=2 reward=1.774000
2017/11/04 05:56:38 regularize: worker=1 term=0.020794295
2017/11/04 05:56:39 update: worker=3 critic_mse=0.162724
2017/11/04 05:56:39 episode: worker=3 reward=0.562000
2017/11/04 05:56:39 episode: worker=7 reward=1.238000
2017/11/04 05:56:40 episode: worker=0 reward=0.030000
2017/11/04 05:56:41 episode: worker=4 reward=4.042000
2017/11/04 05:56:42 regularize: worker=5 term=0.02079427
2017/11/04 05:56:42 episode: worker=2 reward=0.030000
2017/11/04 05:56:44 episode: worker=6 reward=0.510000
2017/11/04 05:56:46 episode: worker=0 reward=0.030000
2017/11/04 05:56:46 regularize: worker=5 term=0.02079429
2017/11/04 05:56:46 episode: worker=5 reward=1.618000
2017/11/04 05:56:48 episode: worker=2 reward=0.030000
2017/11/04 05:56:49 episode: worker=7 reward=0.156000
2017/11/04 05:56:50 regularize: worker=6 term=0.020794276
2017/11/04 05:56:52 episode: worker=1 reward=2.930000
2017/11/04 05:56:53 episode: worker=2 reward=0.030000
2017/11/04 05:56:54 regularize: worker=6 term=0.020794267
2017/11/04 05:56:57 regularize: worker=7 term=0.020794267
2017/11/04 05:56:57 episode: worker=7 reward=0.616000
2017/11/04 05:56:59 regularize: worker=3 term=0.020794246
2017/11/04 05:57:02 regularize: worker=2 term=0.020794254
2017/11/04 05:57:02 episode: worker=3 reward=1.878000
2017/11/04 05:57:05 regularize: worker=4 term=0.020794272
